outlier_strategy,model_name,model_type,dataset_size,mean_rmse,std_rmse,training_time_sec,memory_used_mb
['iqr_remove'],LinearRegression,trees_models,691,6.3816,0.6313,4.46,0.0
['iqr_remove'],LinearRegression,linear_models,691,6.396,0.6418,3.82,0.04
"['gost_binar', 'combine']",LinearRegression,linear_models,770,6.4902,0.384,4.34,0.24
"['gost_binar', 'combine']",LinearRegression,trees_models,770,6.504,0.377,5.01,0.32
['gost_binar'],LinearRegression,trees_models,781,6.585,0.3709,4.47,0.34
['gost_binar'],LinearRegression,linear_models,781,6.5861,0.3865,3.79,0.05
['abnormal'],LinearRegression,linear_models,770,6.8253,0.3264,4.05,1.48
['abnormal'],LinearRegression,trees_models,770,6.8281,0.3032,4.51,0.53
['combine'],LinearRegression,linear_models,770,6.8368,0.3335,3.34,0.07
['combine'],LinearRegression,trees_models,770,6.8385,0.3127,4.16,0.04
